fecha,valor
2014-12-30T03:00:00.000Z,607.38
2014-12-29T03:00:00.000Z,608.15
2014-12-26T03:00:00.000Z,609.17
2014-12-24T03:00:00.000Z,608.47
2014-12-23T03:00:00.000Z,610.26
2014-12-22T03:00:00.000Z,612.55
2014-12-19T03:00:00.000Z,614.16
2014-12-18T03:00:00.000Z,619.19
2014-12-17T03:00:00.000Z,621.41
2014-12-16T03:00:00.000Z,618.49
2014-12-15T03:00:00.000Z,617.45
2014-12-12T03:00:00.000Z,615.9
2014-12-11T03:00:00.000Z,615.49
2014-12-10T03:00:00.000Z,613.77
2014-12-09T03:00:00.000Z,611.4
2014-12-05T03:00:00.000Z,611.68
2014-12-04T03:00:00.000Z,612.44
2014-12-03T03:00:00.000Z,614.77
2014-12-02T03:00:00.000Z,610.79
2014-12-01T03:00:00.000Z,605.46
2014-11-28T03:00:00.000Z,598.94
2014-11-27T03:00:00.000Z,600.25
2014-11-26T03:00:00.000Z,597.89
2014-11-25T03:00:00.000Z,594.36
2014-11-24T03:00:00.000Z,595.32
2014-11-21T03:00:00.000Z,600.37
2014-11-20T03:00:00.000Z,599.53
2014-11-19T03:00:00.000Z,596.21
2014-11-18T03:00:00.000Z,595.22
2014-11-17T03:00:00.000Z,595.84
2014-11-14T03:00:00.000Z,594.14
2014-11-13T03:00:00.000Z,592.48
2014-11-12T03:00:00.000Z,590.58
2014-11-11T03:00:00.000Z,586.33
2014-11-10T03:00:00.000Z,589.72
2014-11-07T03:00:00.000Z,590.44
2014-11-06T03:00:00.000Z,588.48
2014-11-05T03:00:00.000Z,585.97
2014-11-04T03:00:00.000Z,580.62
2014-11-03T03:00:00.000Z,576.5
2014-10-30T03:00:00.000Z,576.65
2014-10-29T03:00:00.000Z,581.62
2014-10-28T03:00:00.000Z,585.1
2014-10-27T03:00:00.000Z,584.2
2014-10-24T03:00:00.000Z,584.4
2014-10-23T03:00:00.000Z,584.14
2014-10-22T03:00:00.000Z,583.92
2014-10-21T03:00:00.000Z,587.12
2014-10-20T03:00:00.000Z,587.61
2014-10-17T03:00:00.000Z,591.16
2014-10-16T03:00:00.000Z,588.22
2014-10-15T03:00:00.000Z,588.4
2014-10-14T03:00:00.000Z,590.01
2014-10-13T03:00:00.000Z,594.3
2014-10-10T03:00:00.000Z,592.13
2014-10-09T03:00:00.000Z,594.71
2014-10-08T03:00:00.000Z,596.95
2014-10-07T03:00:00.000Z,597.72
2014-10-06T03:00:00.000Z,598.64
2014-10-03T03:00:00.000Z,596.08
2014-10-02T03:00:00.000Z,597.26
2014-10-01T03:00:00.000Z,599.22
2014-09-30T03:00:00.000Z,601.66
2014-09-29T03:00:00.000Z,599.66
2014-09-26T03:00:00.000Z,598.91
2014-09-25T03:00:00.000Z,598.87
2014-09-24T03:00:00.000Z,600.3
2014-09-23T03:00:00.000Z,600.36
2014-09-22T03:00:00.000Z,594.09
2014-09-17T03:00:00.000Z,593.76
2014-09-16T03:00:00.000Z,594.71
2014-09-15T03:00:00.000Z,590.6
2014-09-12T03:00:00.000Z,590.14
2014-09-11T03:00:00.000Z,590.82
2014-09-10T03:00:00.000Z,592.34
2014-09-09T03:00:00.000Z,585.29
2014-09-08T03:00:00.000Z,586.41
2014-09-05T04:00:00.000Z,591.43
2014-09-04T04:00:00.000Z,588.52
2014-09-03T04:00:00.000Z,591.55
2014-09-02T04:00:00.000Z,589.03
2014-09-01T04:00:00.000Z,590.91
