fecha,valor
2019-12-30T03:00:00.000Z,744.62
2019-12-27T03:00:00.000Z,746.66
2019-12-26T03:00:00.000Z,751.04
2019-12-24T03:00:00.000Z,754.27
2019-12-23T03:00:00.000Z,749.83
2019-12-20T03:00:00.000Z,752.6
2019-12-19T03:00:00.000Z,752.3
2019-12-18T03:00:00.000Z,756.95
2019-12-17T03:00:00.000Z,762.83
2019-12-16T03:00:00.000Z,766.76
2019-12-13T03:00:00.000Z,768.69
2019-12-12T03:00:00.000Z,772.93
2019-12-11T03:00:00.000Z,778.14
2019-12-10T03:00:00.000Z,771.29
2019-12-09T03:00:00.000Z,779.04
2019-12-06T03:00:00.000Z,784.25
2019-12-05T03:00:00.000Z,796.75
2019-12-04T03:00:00.000Z,802.44
2019-12-03T03:00:00.000Z,804.29
2019-12-02T03:00:00.000Z,812.13
2019-11-29T03:00:00.000Z,828.25
2019-11-28T03:00:00.000Z,806.3
2019-11-27T03:00:00.000Z,793.49
2019-11-26T03:00:00.000Z,791.16
2019-11-25T03:00:00.000Z,795.94
2019-11-22T03:00:00.000Z,795.14
2019-11-21T03:00:00.000Z,797.17
2019-11-20T03:00:00.000Z,782.71
2019-11-19T03:00:00.000Z,773.81
2019-11-18T03:00:00.000Z,782.82
2019-11-15T03:00:00.000Z,801.83
2019-11-14T03:00:00.000Z,794.51
2019-11-13T03:00:00.000Z,783.72
2019-11-12T03:00:00.000Z,756.08
2019-11-11T03:00:00.000Z,746.23
2019-11-08T03:00:00.000Z,740.23
2019-11-07T03:00:00.000Z,743.65
2019-11-06T03:00:00.000Z,745.85
2019-11-05T03:00:00.000Z,736.66
2019-11-04T03:00:00.000Z,735.05
2019-10-30T03:00:00.000Z,726.34
2019-10-29T03:00:00.000Z,724.37
2019-10-28T03:00:00.000Z,725.87
2019-10-25T03:00:00.000Z,723.43
2019-10-24T03:00:00.000Z,726.15
2019-10-23T03:00:00.000Z,726.24
2019-10-22T03:00:00.000Z,723.52
2019-10-21T03:00:00.000Z,709.71
2019-10-18T03:00:00.000Z,713.23
2019-10-17T03:00:00.000Z,718.69
2019-10-16T03:00:00.000Z,715.48
2019-10-15T03:00:00.000Z,712.04
2019-10-14T03:00:00.000Z,712.98
2019-10-11T03:00:00.000Z,720.61
2019-10-10T03:00:00.000Z,724.27
2019-10-09T03:00:00.000Z,722.28
2019-10-08T03:00:00.000Z,717.05
2019-10-07T03:00:00.000Z,715.53
2019-10-04T03:00:00.000Z,719.53
2019-10-03T03:00:00.000Z,727.8
2019-10-02T03:00:00.000Z,729.38
2019-10-01T03:00:00.000Z,728.21
2019-09-30T03:00:00.000Z,725.68
2019-09-27T03:00:00.000Z,726.17
2019-09-26T03:00:00.000Z,727.08
2019-09-25T03:00:00.000Z,721.92
2019-09-24T03:00:00.000Z,722.17
2019-09-23T03:00:00.000Z,715.24
2019-09-17T03:00:00.000Z,709.81
2019-09-16T03:00:00.000Z,707.07
2019-09-13T03:00:00.000Z,711.29
2019-09-12T03:00:00.000Z,714.39
2019-09-11T03:00:00.000Z,714.77
2019-09-10T03:00:00.000Z,713.72
2019-09-09T03:00:00.000Z,711.22
2019-09-06T04:00:00.000Z,717.52
2019-09-05T04:00:00.000Z,723.3
2019-09-04T04:00:00.000Z,725.69
2019-09-03T04:00:00.000Z,724.72
2019-09-02T04:00:00.000Z,720.2
2019-08-30T04:00:00.000Z,720.65
2019-08-29T04:00:00.000Z,724.2
2019-08-28T04:00:00.000Z,721.55
2019-08-27T04:00:00.000Z,718.75
2019-08-26T04:00:00.000Z,716.4
2019-08-23T04:00:00.000Z,713.22
2019-08-22T04:00:00.000Z,709.52
2019-08-21T04:00:00.000Z,710.63
2019-08-20T04:00:00.000Z,711.94
2019-08-19T04:00:00.000Z,709.26
2019-08-16T04:00:00.000Z,710.14
2019-08-14T04:00:00.000Z,708.37
2019-08-13T04:00:00.000Z,716.69
2019-08-12T04:00:00.000Z,712.04
2019-08-09T04:00:00.000Z,710.98
2019-08-08T04:00:00.000Z,718.55
2019-08-07T04:00:00.000Z,716.35
2019-08-06T04:00:00.000Z,721.7
2019-08-05T04:00:00.000Z,711.13
2019-08-02T04:00:00.000Z,704.88
2019-08-01T04:00:00.000Z,700.82
2019-07-31T04:00:00.000Z,699.98
2019-07-30T04:00:00.000Z,697.22
2019-07-29T04:00:00.000Z,696.62
2019-07-26T04:00:00.000Z,694.16
2019-07-25T04:00:00.000Z,691.36
2019-07-24T04:00:00.000Z,691.57
2019-07-23T04:00:00.000Z,688.28
2019-07-22T04:00:00.000Z,685.81
2019-07-19T04:00:00.000Z,683.27
2019-07-18T04:00:00.000Z,681.69
2019-07-17T04:00:00.000Z,679.48
2019-07-15T04:00:00.000Z,681.07
2019-07-12T04:00:00.000Z,683.38
2019-07-11T04:00:00.000Z,685.4
2019-07-10T04:00:00.000Z,688.88
2019-07-09T04:00:00.000Z,685.83
2019-07-08T04:00:00.000Z,683.12
2019-07-05T04:00:00.000Z,677.64
2019-07-04T04:00:00.000Z,680.48
2019-07-03T04:00:00.000Z,681.3
2019-07-02T04:00:00.000Z,677.62
2019-07-01T04:00:00.000Z,679.15
2019-06-28T04:00:00.000Z,679.86
2019-06-27T04:00:00.000Z,680.06
2019-06-26T04:00:00.000Z,678.32
2019-06-25T04:00:00.000Z,682.31
2019-06-24T04:00:00.000Z,683.41
2019-06-21T04:00:00.000Z,684.19
2019-06-20T04:00:00.000Z,693.99
2019-06-19T04:00:00.000Z,696.81
2019-06-18T04:00:00.000Z,699.52
2019-06-17T04:00:00.000Z,698.72
2019-06-14T04:00:00.000Z,696.25
2019-06-13T04:00:00.000Z,694.89
2019-06-12T04:00:00.000Z,693.6
2019-06-11T04:00:00.000Z,697.34
2019-06-10T04:00:00.000Z,692.28
2019-06-07T04:00:00.000Z,692.21
2019-06-06T04:00:00.000Z,693.25
2019-06-05T04:00:00.000Z,696.78
2019-06-04T04:00:00.000Z,704.59
2019-06-03T04:00:00.000Z,709.8
2019-05-31T04:00:00.000Z,707.86
2019-05-30T04:00:00.000Z,708.2
2019-05-29T04:00:00.000Z,703.48
2019-05-28T04:00:00.000Z,696.46
2019-05-27T04:00:00.000Z,694.84
2019-05-24T04:00:00.000Z,698.03
2019-05-23T04:00:00.000Z,696.7
2019-05-22T04:00:00.000Z,697.23
2019-05-20T04:00:00.000Z,696.61
2019-05-17T04:00:00.000Z,692.79
2019-05-16T04:00:00.000Z,692.62
2019-05-15T04:00:00.000Z,692.33
2019-05-14T04:00:00.000Z,693.04
2019-05-13T04:00:00.000Z,685.67
2019-05-10T04:00:00.000Z,686.43
2019-05-09T04:00:00.000Z,684.51
2019-05-08T04:00:00.000Z,683.49
2019-05-07T04:00:00.000Z,681.09
2019-05-06T04:00:00.000Z,678.68
2019-05-03T04:00:00.000Z,683.31
2019-05-02T04:00:00.000Z,678.71
2019-04-30T04:00:00.000Z,677.67
2019-04-29T04:00:00.000Z,673.86
2019-04-26T04:00:00.000Z,676.21
2019-04-25T04:00:00.000Z,672.83
2019-04-24T04:00:00.000Z,668.19
2019-04-23T04:00:00.000Z,663.91
2019-04-22T04:00:00.000Z,662.27
2019-04-18T04:00:00.000Z,660.48
2019-04-17T04:00:00.000Z,663.98
2019-04-16T04:00:00.000Z,662.86
2019-04-15T04:00:00.000Z,660.67
2019-04-12T04:00:00.000Z,664.19
2019-04-11T04:00:00.000Z,662.92
2019-04-10T04:00:00.000Z,663.15
2019-04-09T04:00:00.000Z,663.01
2019-04-08T04:00:00.000Z,664.17
2019-04-05T03:00:00.000Z,666.32
2019-04-04T03:00:00.000Z,667.55
2019-04-03T03:00:00.000Z,670.05
2019-04-02T03:00:00.000Z,672.56
2019-04-01T03:00:00.000Z,678.53
2019-03-29T03:00:00.000Z,681.09
2019-03-28T03:00:00.000Z,683.73
2019-03-27T03:00:00.000Z,679.02
2019-03-26T03:00:00.000Z,679.08
2019-03-25T03:00:00.000Z,676.6
2019-03-22T03:00:00.000Z,665.12
2019-03-21T03:00:00.000Z,666.13
2019-03-20T03:00:00.000Z,664.78
2019-03-19T03:00:00.000Z,667.21
2019-03-18T03:00:00.000Z,669.39
2019-03-15T03:00:00.000Z,670.62
2019-03-14T03:00:00.000Z,665.68
2019-03-13T03:00:00.000Z,667.09
2019-03-12T03:00:00.000Z,669.37
2019-03-11T03:00:00.000Z,670.83
2019-03-08T03:00:00.000Z,662.19
2019-03-07T03:00:00.000Z,658.4
2019-03-06T03:00:00.000Z,657.49
2019-03-05T03:00:00.000Z,659.07
2019-03-04T03:00:00.000Z,656.57
2019-03-01T03:00:00.000Z,651.79
2019-02-28T03:00:00.000Z,649.92
2019-02-27T03:00:00.000Z,649.8
2019-02-26T03:00:00.000Z,649.22
2019-02-25T03:00:00.000Z,651.36
2019-02-22T03:00:00.000Z,654.33
2019-02-21T03:00:00.000Z,654.52
2019-02-20T03:00:00.000Z,658.75
2019-02-19T03:00:00.000Z,660.82
2019-02-18T03:00:00.000Z,663.98
2019-02-15T03:00:00.000Z,665.9
2019-02-14T03:00:00.000Z,661.6
2019-02-13T03:00:00.000Z,660.49
2019-02-12T03:00:00.000Z,660.82
2019-02-11T03:00:00.000Z,656.46
2019-02-08T03:00:00.000Z,654.44
2019-02-07T03:00:00.000Z,653.9
2019-02-06T03:00:00.000Z,652.78
2019-02-05T03:00:00.000Z,653.8
2019-02-04T03:00:00.000Z,655.39
2019-02-01T03:00:00.000Z,657.81
2019-01-31T03:00:00.000Z,666.76
2019-01-30T03:00:00.000Z,669.6
2019-01-29T03:00:00.000Z,671.29
2019-01-28T03:00:00.000Z,667.04
2019-01-25T03:00:00.000Z,672.14
2019-01-24T03:00:00.000Z,672.41
2019-01-23T03:00:00.000Z,672.26
2019-01-22T03:00:00.000Z,672.42
2019-01-21T03:00:00.000Z,670.1
2019-01-18T03:00:00.000Z,671.37
2019-01-17T03:00:00.000Z,672.73
2019-01-16T03:00:00.000Z,673.76
2019-01-15T03:00:00.000Z,674.95
2019-01-14T03:00:00.000Z,675.15
