mes,precio_normalizado,mes_nombre
1,0.8872683800655806,Ene
2,0.6897770191573221,Feb
3,0.8290755257272782,Mar
4,0.754398373809786,Abr
5,1.0296102190870857,May
6,1.032223047396073,Jun
7,1.0116334925162538,Jul
8,0.8836286524220811,Ago
9,1.1235198755012852,Sep
10,1.204872141622651,Oct
11,1.2989509039625804,Nov
12,1.2289999054186878,Dic
