region_limpia,precio
O'Higgins,778.4475418692599
Metropolitana,805.8315027678151
Maule,816.3508743718593
Ñuble,821.0014807502467
Arica y Parinacota,824.3686148182237
Valparaíso,829.2594653849397
Tarapacá,832.4361538461538
Biobío,835.0827036793693
Coquimbo,844.5924650458021
Araucanía,853.9505600416775
Magallanes,858.8811531139515
Los Lagos,864.1700253569999
Atacama,868.4284448382809
Antofagasta,882.1066420095547
Aysén,889.2159165035878
Los Ríos,899.7523097826087
